RA_ICRS,DE_ICRS,Source,Plx,e_Plx,PM,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,cluster
42.29772436482,60.46293700051,464765287345416704,1.0389,1.2652,2.913,-2.357,1.713,95,,1.6368,1.08,20.488605,,,,,41.78000271771,42.2977456103,60.46292938802,1.056587,3
42.30039729272,60.47410630758,464765489208469632,0.8232,0.1042,4.406,-3.512,2.66,31,1.371,,1.007,17.97384,18.88472,17.032845,1.851875,,41.78974596522,42.30042896954,60.47409448332,0.850176,3
42.45390739223,60.51288195551,464766283777741056,0.9745,0.3807,3.314,-3.148,1.036,95,,1.3545,0.945,19.867813,20.935465,18.796291,2.139174,,41.79558394956,42.45393581817,60.51287734906,1.000804,3
42.58472295583,60.52216650203,464766489940791936,0.9977,0.3349,3.025,-2.446,1.779,95,,1.4131,1.398,18.65574,19.164104,16.963413,2.200691,,41.77880557732,42.58474505101,60.5221585953,1.017531,3
42.52972048768,60.55948907098,464766829236391424,0.8934,0.3382,3.49,-2.455,2.48,95,,1.3776,1.021,19.679163,20.805857,18.729599,2.076258,,41.82375647011,42.52974268914,60.55947804667,0.917252,3
42.51639245367,60.57202306643,464767589452219264,0.828,0.4061,3.626,-2.684,2.439,95,,1.4235,1.307,19.539822,20.250656,18.141138,2.109518,,41.83785653203,42.51641672992,60.57201222666,0.848555,3
42.13340963453,60.40721273285,464770750550752896,0.9052,0.5056,3.133,-2.537,1.838,95,,1.2659,1.017,20.242529,21.063107,19.278112,1.784994,,41.76083476306,42.13343246503,60.40720456232,0.941109,3
41.83167388805,60.38306997905,464772532954475648,0.8966,0.1252,3.905,-1.686,3.522,31,1.338,,1.038,18.144327,19.180998,17.156456,2.024542,,41.7977761572,41.8316890551,60.3830543246,0.923076,3
41.97665789661,60.50621521414,464775148588706688,0.8743,0.4853,3.511,-1.658,3.095,95,,1.313,1.015,20.044899,21.090315,18.965368,2.124947,,41.88236233511,41.976672868,60.50620146003,0.903991,3
42.07448329657,60.54825169725,464778240971308416,1.0075,0.8018,2.583,-2.443,0.839,95,,1.3558,1.119,20.50651,21.158092,19.385498,1.772595,,41.90183984608,42.07450537894,60.54824796781,1.0517610000000002,3
42.43730092997,60.63087490828,464779679778701824,0.8679,0.2889,3.373,-2.654,2.082,95,,1.3813,1.033,19.46014,20.449343,18.46605,1.983294,,41.9072446736,42.43732498127,60.63086565327,0.889675,3
41.9665744866,60.5782813751,464781505146130432,0.8164,0.0236,3.728,-3.507,1.264,31,1.471,,0.962,15.066611,15.598522,14.369112,1.22941,,41.95046330355,41.9666062198,60.57827575832,0.849786,3
