Cluster,GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Pmemb
NGC_1027,465621699530381056,40.94072159634,61.27521829077,0.942,-1.488,1.554,18.230427,19.25457,17.266048,0.54
NGC_1027,465882528603973248,39.56188674257,61.80564846282,0.7539,-2.01,2.295,19.049538,20.306345,17.998543,0.31
NGC_1027,465960074233930240,39.20059164073,62.28061057044,0.7789,-1.326,1.677,18.057795,18.956041,17.127354,0.05
NGC_1027,465878779090666368,39.84035424462,61.70638380254,0.945,-2.007,2.139,17.575466,18.428988,16.67711,0.99
NGC_1027,465616992245852672,40.55883886336,61.14920394616,0.6861,-2.285,2.078,18.100344,18.930582,17.217783,0.3
NGC_1027,465878263694602752,39.64752762894,61.71088958774,1.048,-2.297,2.24,18.803585,19.90867,17.776836,0.32
NGC_1027,465609536182815360,41.04880119972,61.21089661524,0.8934,-1.796,2.1,17.792515,18.752975,16.841764,0.97
NGC_1027,465609467464296192,41.00120289957,61.19493012645,1.0795,-1.804,1.566,20.073523,21.395,18.852858,0.09
NGC_1027,465609158225565312,41.0096543681,61.16747333445,0.3467,-1.585,1.777,19.124306,20.106966,18.020355,0.1
NGC_1027,465869849859685504,39.33082471128,61.71337206875,0.8327,-1.694,1.918,14.550171,15.023477,13.902455,1.0
NGC_1027,465608372252025984,41.07503102626,61.14560997888,0.8226,-1.658,1.499,16.096035,16.67916,15.360517,0.81
NGC_1027,465868024495834112,39.21014123036,61.61982042486,1.1865,-1.928,1.672,18.709812,19.999157,17.58569,0.32
NGC_1027,465607508959221888,41.37349634177,61.21502134248,0.547,-1.405,2.057,19.094133,20.103062,18.13327,0.09
NGC_1027,465607307096825216,41.32662728923,61.20717056547,0.643,-1.657,2.293,20.43525,21.132555,19.29549,0.05
NGC_1027,465867650836499200,39.20924394052,61.61833645126,0.805,-1.666,1.903,16.459356,17.176386,15.61771,1.0
NGC_1027,465867509096080000,39.17375763353,61.58253502069,0.4934,-2.093,1.988,19.205975,20.123787,18.227467,0.11
NGC_1027,465606993567889280,41.31961935722,61.18084808434,0.9348,-1.461,1.969,20.161003,20.661,18.810204,0.18
NGC_1027,465870365255744128,39.36808024915,61.74247776003,0.6756,-2.074,2.526,18.69213,19.615656,17.7123,0.19
NGC_1027,464995909906788608,42.49805818409,61.84740710172,1.1677,-1.742,2.334,18.425943,19.366148,17.411736,0.28
NGC_1027,465606035784851840,41.43004141086,61.15398438217,1.1618,-2.16,1.174,19.367416,21.003468,18.216242,0.05
NGC_1027,465865962907759744,38.94613271833,61.6507945758,0.8553,-2.016,1.906,12.755146,13.035033,12.31065,1.0
NGC_1027,465605103776255744,41.19650314205,61.10520204264,1.2056,-1.586,1.912,19.368149,20.580568,18.272137,0.29
NGC_1027,465604519660738816,41.29669363846,61.11415868869,0.601,-1.905,2.035,18.72916,19.716297,17.645313,0.4
NGC_1027,465604347861965952,41.35102319205,61.08814077433,0.8615,-1.924,2.028,18.83131,19.97888,17.80428,0.69
NGC_1027,464993947106858752,42.52468713811,61.77460613342,0.7533,-2.292,1.719,19.24459,20.436886,18.21789,0.05
NGC_1027,465864936417215360,38.71448507816,61.61066644411,0.9371,-2.358,2.035,17.270935,18.156158,16.328207,0.3
NGC_1027,465603110911458688,40.96646150436,61.11645180402,0.4515,-1.886,2.16,18.717354,19.46767,17.870049,0.06
NGC_1027,465863763884558080,38.83956045113,61.55348427798,0.8644,-2.202,1.469,18.437645,19.352156,17.324644,0.07
NGC_1027,465602702895244800,40.92241433088,61.09423874202,0.9349,-1.855,2.05,15.765883,16.284992,14.968859,1.0
NGC_1027,465776734972081408,40.64401592539,61.78944675606,0.6434,-1.856,2.23,18.732315,19.920223,17.735634,0.5
NGC_1027,464995394519777920,42.67391508214,61.86946125321,0.5604,-1.776,1.976,18.394852,19.315508,17.491133,0.11
NGC_1027,465624452609750400,41.15317811895,61.41664299632,0.8225,-1.383,1.559,15.18556,15.687974,14.515094,0.85
NGC_1027,465610085938776192,41.11002871699,61.25860501192,0.8548,-1.659,2.214,17.37448,18.181145,16.491581,0.99
NGC_1027,465610257737336448,41.21709625778,61.21345960335,0.5586,-1.157,1.724,18.563986,19.153967,17.38823,0.05
NGC_1027,465616579929259904,40.76140072655,61.24120696829,0.6429,-1.691,1.841,16.988646,17.690504,15.982746,0.52
NGC_1027,465877890039502336,39.63157214212,61.69340119962,0.987,-1.409,1.672,16.622618,17.12601,15.640834,0.42
NGC_1027,465616412424684928,40.86688576762,61.24238718142,0.5244,-2.014,2.241,19.91582,20.85258,18.982857,0.07
NGC_1027,465877512082388992,39.68239367629,61.65605139367,0.8175,-1.714,1.591,13.555926,13.8545685,13.087605,1.0
NGC_1027,465615789655071104,40.74569054705,61.1712154556,0.6182,-1.722,1.353,19.60268,20.912003,18.52836,0.05
NGC_1027,465876584369458176,39.70170647327,61.61411524677,0.879,-2.084,2.1,14.740179,15.243764,14.063481,1.0
NGC_1027,465876481290243200,39.74756853452,61.60721810144,0.852,-2.027,2.178,11.666484,11.893052,11.280544,1.0
NGC_1027,465876446926246784,39.78119493484,61.62196412553,0.9482,-1.506,1.337,20.097113,21.26793,18.999466,0.05
