Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,pmRA,pmDE,Plx,SimbadName,_RA_icrs,_DE_icrs,Source,RV,Gmag,BP-RP,Proba
NGC_1027,40.31533797918,61.72972475173,135.55038800836,1.57854240369,-1.823,1.875,0.8806,Gaia DR2  465693653124105088,40.31535455226,61.72971667798,465693653124105088,,14.7859,1.1328,1.0
NGC_1027,40.64158805826,61.65960355111,135.72030062795,1.57852386071,-1.621,1.976,0.9131,Gaia DR2  465681386697530624,40.64160276202,61.65959504202,465681386697530624,,15.9298,1.318,1.0
NGC_1027,40.66312250362,61.58751666002,135.75955149928,1.51719068589,-1.679,2.382,0.9567,Gaia DR2  465677744565327744,40.66313769709,61.58750640248,465677744565327744,,16.0002,1.4468,1.0
NGC_1027,40.47517875901,61.61300080474,135.6675993537,1.50338286028,-2.446,2.419,1.0381,,40.4752009144,61.61299038855,465680218466489856,,17.7603,2.0956,0.2
NGC_1027,40.43816380967,61.62145968528,135.6480747011,1.50383190549,-1.859,2.354,0.8831,Gaia DR2  465680317241661824,40.43818064533,61.62144955184,465680317241661824,,15.9075,1.318,1.0
NGC_1027,39.84367790095,61.32866020453,135.50833056167,1.12068008065,-1.691,1.688,0.8459,Gaia DR2  465658193873280512,39.84369307508,61.3286529376,465658193873280512,,14.0258,0.9249,0.8
NGC_1027,40.37583912349,61.62785651261,135.61843843404,1.49746558207,-1.79,2.129,0.9219,Gaia DR2  465692106935963520,40.375855339,61.62784734737,465692106935963520,,17.6896,1.682,1.0
NGC_1027,40.12597841085,61.66342365389,135.49557491588,1.48130818459,-1.913,2.222,0.8975,Gaia DR2  465690148430873472,40.12599575991,61.66341408504,465690148430873472,,14.3069,1.0215,1.0
NGC_1027,40.45086132318,61.65201484445,135.64097093525,1.53415641253,-1.862,2.216,0.8106,Gaia DR2  465680523400155008,40.45087820726,61.65200530321,465680523400155008,,17.406,1.6256,0.9
NGC_1027,40.60787558328,61.61066542175,135.72602622845,1.52735059456,-1.621,2.346,0.9029,Gaia DR2  465680665143074816,40.60789026663,61.61065532115,465680665143074816,,15.4481,1.3639,1.0
NGC_1027,40.71617841666,61.66275455089,135.75120903254,1.59610170953,-1.793,2.124,0.8343,Gaia DR2  465681283618304128,40.71619467938,61.66274540563,465681283618304128,,17.2678,1.5956,0.9
NGC_1027,40.56792183327,61.54965331364,135.73399534261,1.46394248013,-1.307,2.021,0.8774,Gaia DR2  465678947146339456,40.56793364997,61.54964461363,465678947146339456,,17.9124,1.6416,0.5
NGC_1027,40.60313985437,61.61119909111,135.72375511143,1.5269029983,-1.645,2.266,0.7701,Gaia DR2  465680871301505152,40.60315475068,61.61118933428,465680871301505152,,15.7322,1.2911,1.0
NGC_1027,40.66842030765,61.66822961537,135.72830857481,1.59165891416,-1.931,2.172,0.9432,Gaia DR2  465681524136473216,40.66843782828,61.66822026188,465681524136473216,,15.9533,1.2884,1.0
NGC_1027,40.26430368752,61.59954960363,135.58169668521,1.44988492544,-1.859,2.022,0.8288,Gaia DR2  465685952238289280,40.26432051366,61.59954089714,465685952238289280,,16.162,1.3954,1.0
NGC_1027,40.53390258465,61.61432417176,135.6924860914,1.51612078891,-1.842,2.082,0.8701,Gaia DR2  465680184106743936,40.53391927041,61.61431520643,465680184106743936,,15.195,1.1787,1.0
NGC_1027,40.34116561513,61.71390461791,135.56804809524,1.56914288672,-1.653,2.133,0.8321,Gaia DR2  465693446965684736,40.34118063194,61.71389543398,465693446965684736,,13.535,0.763,1.0
NGC_1027,40.29832298752,61.41695843553,135.67138468736,1.28999885621,-1.641,2.85,0.8522,,40.298337759,61.4169461632,465672109568407808,,17.1939,1.7022,0.4
NGC_1027,40.47072749856,61.62378639295,135.66121908527,1.51233418317,-1.849,2.163,0.8996,Gaia DR2  465680424624911360,40.47074425191,61.62377707798,465680424624911360,,14.6229,1.0543,1.0
NGC_1027,40.39461342689,61.61639037801,135.63129334512,1.49068633484,-1.73,2.449,0.902,Gaia DR2  465680355905450496,40.39462909886,61.61637983321,465680355905450496,,15.0644,1.1619,1.0
NGC_1027,40.56977397831,61.59315875999,135.7167821892,1.50391005934,-2.148,2.894,0.8599,Gaia DR2  465679359473038208,40.56979342087,61.59314630157,465679359473038208,,15.9112,1.3293,0.5
NGC_1027,41.05797784806,61.44203317231,135.991518335,1.46373940776,-1.822,2.279,0.8326,Gaia DR2  465625517761270144,41.05799425385,61.44202335844,465625517761270144,,16.7153,1.5303,1.0
NGC_1027,40.63502301435,61.58179554041,135.74975770002,1.50643548988,-1.918,2.195,0.9162,Gaia DR2  465680596423622016,40.63504036879,61.58178608888,465680596423622016,,14.853,1.1443,1.0
NGC_1027,40.62407233236,61.58356770538,135.74427887289,1.50588628586,-1.731,2.205,0.841,Gaia DR2  465680562063883392,40.62408799466,61.5835582135,465680562063883392,,15.4453,1.2328,1.0
NGC_1027,40.72783842114,61.60208420189,135.78150256686,1.54323798865,-1.053,2.313,0.9379,Gaia DR2  465678088162689280,40.72784795002,61.60207424321,465678088162689280,,15.3698,1.2465,0.5
NGC_1027,40.70742224029,61.57261070975,135.78493168764,1.5123947449,-1.672,2.304,0.8474,Gaia DR2  465677469687430016,40.70743736619,61.57260079164,465677469687430016,,16.1403,1.3628,1.0
NGC_1027,40.58732961209,61.38611471795,135.8101732526,1.31892124642,-1.706,2.244,0.8885,Gaia DR2  465668123838754304,40.58734494569,61.38610505789,465668123838754304,,14.9708,1.3301,1.0
