RA_ICRS,DE_ICRS,Source,Plx,e_Plx,PM,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,aux,pert_class,BPmag-RPmag,min,max,std,avg,mode,median,Q1,Q3,excl
40.28541580418,61.87191887283,465699833573409920,1.0193,0.069,2.856,-1.998,2.041,31,1.418,,1.1,16.930481,17.648249,16.1204,1.527849,,43.46156759929,40.28543464359,61.87190980229,1.048987,0.5266766373250703,1,1.5278489999999998,1.4194561483077737e-20,0.757760226726532,0.2665257453918457,0.5820662975311279,0.7400000095367432,0.757760226726532,0.4138936698436737,0.757760226726532,0.37738150358200073
40.28555787667,61.87969233428,465699837876933632,0.9017,0.0509,2.743,-1.893,1.985,31,1.43,,1.048,16.654799,17.313374,15.864187,1.449186,,43.46860110614,40.28557572609,61.87968351003,0.930818,0.5371357114402737,1,1.4491870000000002,5.998347218233446e-12,0.7493757605552673,0.2791488468647003,0.3809751868247986,0.7400000095367432,0.3685181140899658,0.09307845681905746,0.685966432094574,0.7637555003166199
41.27340070626,61.4302781819,465718117256653056,0.8601,0.0162,2.67,-1.784,1.986,31,1.575,,1.382,13.35042,13.626608,12.898256,0.728352,,42.8656195255,41.27341728813,61.4302693565,0.8936299999999999,0.5660666715005496,1,0.7283519999999992,2.802596928649634e-45,0.7258358001708984,0.3151301145553589,0.4112131893634796,0.7200000286102295,0.46085497736930847,0.04244976118206978,0.7258358001708984,0.5515927672386169
41.21480483149,61.42636068456,465718254695612160,0.918,0.0113,2.805,-1.575,2.321,31,1.614,,0.923,12.369166,12.580373,12.012688,0.567685,-53.53,42.87347938581,41.21481946737,61.42635037077,0.942184,0.53157345211769,1,0.5676849999999991,2.802596928649634e-45,0.7538436055183411,0.16593506932258606,0.7153528928756714,0.7400000095367432,0.7538436055183411,0.7538436055183411,0.7538436055183411,0.051059290766716
41.16715077116,61.42569798296,465718289055353088,0.8658,0.0359,2.74,-1.789,2.076,31,1.454,,1.012,16.034071,16.615803,15.305149,1.310654,,42.88218474671,41.16716739085,61.42568875825,0.89561,0.5023292058018055,1,1.3106539999999995,6.219341881774643e-12,0.776984691619873,0.2800176441669464,0.4835241734981537,0.7599999904632568,0.5455384254455566,0.2200031280517578,0.776984691619873,0.644413948059082
41.30786664072,61.4788134044,465718697073043072,0.9763,0.111,2.73,-1.494,2.285,31,1.362,,1.049,18.005123,18.94338,17.079807,1.863573,,42.90321553477,41.30788054526,61.47880325092,1.003318,0.5506514337053865,1,1.8635730000000024,0.7384388446807861,0.7384388446807861,1.1102230246251565e-16,0.7384388446807861,0.7200000286102295,0.7384388446807861,0.7384388446807861,0.7384388446807861,0.0
41.09948809141,61.46856371901,465719319847489536,0.9214,0.0112,2.412,-1.399,1.965,31,1.563,,0.945,12.605408,12.914029,12.129367,0.784662,-45.29,42.93452905718,41.09950111058,61.46855498687,0.94287,0.41588841789359976,1,0.7846619999999991,2.802596928649634e-45,0.8411685824394226,0.3052642345428467,0.7098916172981262,0.8399999737739563,0.8411685824394226,0.8411685824394226,0.8411685824394226,0.15607376396656036
41.11608157028,61.47752506603,465719354198727424,0.9833,1.2559,0.797,0.188,0.774,95,,1.3385,1.165,20.741692,20.895502,19.848286,1.047216,,42.93946080079,41.11607981889,61.47752162391,1.036885,0.4181245371593854,1,1.0472159999999988,0.8396013379096985,0.8396013379096985,1.1102230246251565e-16,0.8396013379096985,0.8199999928474426,0.8396013379096985,0.8396013379096985,0.8396013379096985,0.0
41.20695071739,61.5469485313,465720110121416704,0.8699,0.0329,2.678,-1.729,2.044,31,1.464,,1.051,15.847774,16.397919,15.136721,1.261198,,42.98506877308,41.20696684845,61.54693944531,0.902613,0.4358153187444663,1,1.261198000000002,1.5491821406043835e-20,0.7675197720527649,0.20861154794692993,0.18278488516807556,0.0,0.10272161662578583,0.005315912887454033,0.3175559341907501,0.9929888844490051
41.35881929037,61.48693727839,465720144481181568,0.9681,0.0533,2.703,-1.616,2.166,31,1.417,,1.014,16.83231,17.531763,16.01529,1.516474,,42.90071459522,41.35883433718,61.48692765139,0.997775,0.5824976015026457,1,1.5164730000000013,4.432924567785573e-14,0.7122662663459778,0.1977555751800537,0.6363803744316101,0.699999988079071,0.7122662663459778,0.7122662663459778,0.7122662663459778,0.15256820619106293
41.41902419662,61.56727462523,465721003474582528,0.8986,0.0184,2.751,-1.754,2.119,31,1.509,,1.051,14.433631,14.860579,13.814853,1.045726,-37.81,42.96237680186,41.41904057175,61.56726520774,0.931686,0.5939411813477266,1,1.0457260000000002,2.802596928649634e-45,0.7027415037155151,0.2629232406616211,0.3372362554073334,0.699999988079071,0.30196988582611084,0.08728611469268799,0.6041362285614014,0.761469304561615
41.42054199414,61.57875618923,465721106553789952,0.9093,0.0215,2.037,-0.461,1.984,31,1.491,,0.947,14.800868,15.276068,14.149354,1.126714,-22.41,42.97256658273,41.42054629461,61.57874736928,0.942306,0.5927168194350767,1,1.1267139999999998,2.802596928649634e-45,0.7037633061408997,0.08185844868421555,0.6941094398498535,0.699999988079071,0.7037633061408997,0.7037633061408997,0.7037633061408997,0.01371742133051157
41.25249014417,61.58900384151,465721725029358976,0.8919,0.0244,2.744,-1.734,2.127,31,1.483,,0.962,15.211091,15.707394,14.538469,1.168924,,43.01457591876,41.25250634069,61.58899438926,0.924728,0.45837032963772006,1,1.1689250000000015,1.8301724462421276e-23,0.81050044298172,0.24046540260314941,0.26851367950439453,0.0,0.2133089005947113,0.04740129038691521,0.44270074367523193,0.9519890546798706
