RA_ICRS,DE_ICRS,Source,Plx,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr
225.83682957181,-56.08041523097,5881310928457657600,1.2384,-5.938,-5.13,95,,1.3655,1.012,20.621283,21.1961,19.534945,1.661156,,-37.02142540698,225.83687686763,-56.08039243255,1.224724
225.80918822702,-56.0472695148,5881311237695394688,1.2688,-7.411,-4.304,95,,1.2931,1.38,20.296871,22.202238,19.2078,2.994438,,-36.99569754383,225.80924719832,-56.04725038535,1.234748
225.86263959412,-56.05512729303,5881311340771562240,1.3003,-7.602,-4.996,95,,1.3786,1.066,20.346674,,,,,-36.99270954691,225.86270009735,-56.05510508932,1.288968
225.8600703248,-56.04684414666,5881311340774632448,1.2016,-5.43,-5.404,95,,1.3736,0.953,20.38354,21.996761,19.189993,2.806768,,-36.98543807876,225.86011353667,-56.04682012945,1.189212
225.85442640993,-56.02760122466,5881311443895712256,1.3091,-7.677,-4.906,95,,1.2901,0.957,20.18083,21.442474,19.135933,2.306541,,-36.96848259699,225.85448747384,-56.0275794182,1.274906
226.03413590644,-56.01527102477,5881312062329308672,1.3455,-6.343,-5.65,95,,1.2441,1.01,20.269669,21.330545,18.696737,2.633808,,-36.92215447392,226.0341863412,-56.01524591392,1.29611
225.98496018972,-56.01499940321,5881312096685874048,1.3285,-8.266,-3.636,95,,1.3273,1.168,19.773172,21.21977,18.521732,2.698038,,-36.93139932971,225.98502591614,-56.0149832417,1.315123
225.93409525574,-56.02393594377,5881312234127935744,1.2326,-7.941,-4.941,95,,1.3433,1.088,20.470606,,,,,-36.94961960874,225.93415841021,-56.02391398456,1.212597
225.93570313136,-56.00873854303,5881312234161872128,1.2021,-6.713,-7.329,31,1.538,,0.93,13.251047,13.601045,12.700459,0.900585,12.33,-36.93505054959,225.93575649819,-56.0087059687,1.242148
226.03939281234,-56.00556736468,5881312440283250560,1.3498,-5.642,-3.921,95,,1.3468,0.919,20.058775,21.417444,18.871565,2.545879,,-36.91203293669,226.03943766506,-56.0055499389,1.330235
226.03243161219,-55.96640176801,5881312749521040000,1.1794,-8.376,-4.892,95,,1.4581,1.114,19.861565,21.058666,18.918854,2.139813,,-36.87662066968,226.0324981257,-55.96638002465,1.184661
225.99329837972,-55.94079428337,5881313574191724800,1.154,-9.016,-4.424,31,1.446,,1.07,16.094118,16.692768,15.326888,1.36588,,-36.86015388482,225.99336992566,-55.94077461952,1.186515
226.49594790265,-56.23957469718,5881314123915472512,1.2587,-7.657,-5.303,95,,1.4953,1.139,20.065765,21.112904,18.863611,2.249292,,-37.04414152387,226.49600914397,-56.23955112914,1.269801
226.48215237709,-56.20438913428,5881314501875939840,1.2126,-7.615,-4.88,95,,1.4107,1.015,20.564035,21.637762,19.318193,2.319569,,-37.01372228752,226.48221322203,-56.20436744476,1.2101149999999998
226.46742253967,-56.17325465134,5881314604955175168,1.2857,-7.405,-5.607,95,,1.2452,0.924,20.590742,20.956318,19.01547,1.940847,,-36.98728817959,226.4674816586,-56.17322973178,1.231789
226.51477129923,-56.16568607454,5881314914222192512,1.3083,-5.716,-4.453,95,,1.3186,1.017,20.194155,21.472298,18.839163,2.633135,,-36.9711414149,226.51481692272,-56.16566628173,1.281778
226.56299937984,-56.09135975041,5881317422456122240,1.2271,-7.553,-4.609,95,,1.6209,0.924,20.766825,21.341093,19.358625,1.982468,,-36.8921043982,226.56305955388,-56.09133926591,1.275081
226.38586808661,-56.12852632119,5881318620746954112,1.2888,-6.23,-5.229,95,,1.3917,1.104,20.219736,21.110743,18.880743,2.229999,,-36.96086656035,226.3859177668,-56.12850308203,1.279894
226.5502746143,-55.99990993556,5881321270774739712,1.1536,-5.937,-3.635,95,,1.2753,1.017,20.457891,22.11896,19.228453,2.890507,,-36.8085924167,226.55032179969,-55.99989378094,1.112886
226.37759238011,-55.9836255565,5881322061015943808,1.3492,-6.1,-4.996,95,,1.2405,1.057,20.040955,21.235432,19.048506,2.186926,,-36.82634775585,226.37764084276,-55.98360335386,1.302312
226.70051839017,-55.96657684187,5881324156959712768,1.3202,-7.508,-4.354,95,,1.2664,1.108,19.999323,21.261189,18.982605,2.278583,,-36.74859076526,226.70057800908,-55.96655749226,1.28121
226.62209292728,-55.95944783438,5881324363150451584,1.1366,-7.71,-3.882,31,1.544,,0.928,14.019425,14.370287,13.494004,0.876283,-1.94,-36.75684514955,226.62215413794,-55.95943058269,1.177307
226.73805345003,-55.94938954652,5881324569276620160,1.3289,-5.64,-4.11,95,,1.3024,1.025,19.871716,20.963507,18.526386,2.43712,,-36.72527897048,226.73809821861,-55.94937128162,1.306046
226.88998653058,-55.92531019261,5881325256473435264,1.2316,-5.527,-4.668,95,,1.2734,1.018,18.87474,,,,,-36.67373712074,226.89003037406,-55.92528944456,1.260755
226.79328172725,-55.87436821934,5881326390375855232,1.3202,-6.163,-3.75,31,1.258,,0.956,20.513292,23.425968,19.553003,3.872965,,-36.64420366938,226.79333055466,-55.87435155067,1.314981
226.88320911815,-55.82837190055,5881326905743637888,1.3088,-7.35,-5.333,95,,1.3144,1.097,20.459188,20.62691,19.020916,1.605993,,-36.5838183461,226.88326727566,-55.82834819744,1.280857
226.65880513431,-55.910089764,5881327833453939968,1.2073,-6.884,-4.047,95,,1.3905,0.981,20.326183,21.835121,19.275572,2.559549,,-36.70343381861,226.65885971811,-55.91007177704,1.198803
226.5815719553,-55.8660867028,5881328932995801600,1.1721,-9.31,-5.274,31,1.447,,1.041,16.199085,16.795313,15.451828,1.343485,,-36.67682060076,226.58164569757,-55.8660632608,1.204125
226.55941732573,-55.82989243657,5881329207873760000,1.0701,-7.981,-5.641,31,1.539,,0.942,13.949489,14.313369,13.416742,0.896626,0.55,-36.64703415808,226.55948048223,-55.8298673635,1.110715
226.73196593549,-55.82299822164,5881329688882175744,1.2902,-5.71,-4.1,95,,1.3692,1.047,20.431837,21.791782,19.429688,2.362095,,-36.60757222166,226.73201111268,-55.8229799976,1.277138
226.7120634333,-55.80199755657,5881329925092318208,1.1499,-7.17,-4.015,31,1.453,,1.052,16.306284,16.882204,15.569608,1.312596,,-36.59161871044,226.7121201263,-55.80197971257,1.181692
226.29740442925,-55.98597680523,5881332265890335872,1.1984,-8.919,-5.196,31,1.505,,1.351,14.162207,14.599043,13.542374,1.056669,-46.61,-36.84394843479,226.29747528884,-55.98595371011,1.238683
226.15922939377,-55.99400175807,5881332845679136896,1.2063,-9.128,-4.485,95,,1.3689,1.068,19.967964,21.34743,18.687187,2.660242,,-36.87806502782,226.15930193521,-55.99398182321,1.1926249999999998
226.38348388171,-55.85191470209,5881334911561372672,1.2419,-5.834,-5.644,95,,1.3113,0.976,20.460314,21.07388,19.391497,1.682383,,-36.70147414395,226.38353007301,-55.85188961808,1.212906
226.14109404659,-55.91385992129,5881336320311864832,1.2417,-8.426,-4.376,95,,1.4803,1.165,20.76667,21.011864,19.453981,1.557882,,-36.80632025015,226.14116086918,-55.91384047072,1.257161
226.17428330287,-55.8762188898,5881336835704108928,1.1965,-5.84,-3.718,95,,1.2984,0.957,19.85582,21.382057,18.804659,2.577398,,-36.7645746128,226.17432956889,-55.8762023652,1.173698
226.04137259557,-55.87573437239,5881337282412357120,1.1572,-5.639,-5.497,31,1.483,,1.008,15.484596,15.976172,14.829913,1.146259,,-36.78979166026,226.04141727341,-55.87570993907,1.198216
