RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,aux,pert_class,BPmag-RPmag,min,max,std,avg,mode,median,Q1,Q3,excl
122.77027967421,-12.84132734927,5727490282524648832,0.0124,0.0104,0.7345,0.0162,2.371,-2.294,0.018,-0.598,0.016,31,1.624,,1.045,13.550756,13.745995,13.223373,0.522621,,-32.00656764219,122.77029013224,-12.84132469356,0.776848,0.18286336921765908,1,0.5226220000000001,0.9628447890281677,0.9671139121055603,0.00030169967794790864,0.9668467044830322,0.9599999785423279,0.9669281840324402,0.9667579531669617,0.9670313596725464,0.0
122.77333061861,-12.83586244115,5727490312583660800,0.0328,0.0285,0.6946,0.0467,2.44,-2.382,0.052,-0.531,0.045,31,1.519,,1.088,15.976115,16.381613,15.410564,0.971048,,-32.00052654131,122.77334147457,-12.83586008337,0.733606,0.18744066834466785,1,0.9710490000000007,0.9632992148399353,0.9654760360717773,0.00016631931066513062,0.9653957486152649,0.9599999785423279,0.9654554128646851,0.9653863310813904,0.9654760360717773,0.0
122.76052353981,-12.83350616991,5727490488683081216,0.0116,0.0102,0.7647,0.0164,2.468,-2.351,0.018,-0.752,0.016,31,1.481,,0.925,10.2591,10.756083,9.602923,1.153159,23.19,-32.00141747801,122.76053425601,-12.83350282782,0.7910980000000001,0.16660597432998847,1,1.1531599999999997,0.9726241230964661,0.9726241230964661,2.220446049250313e-16,0.9726241230964661,0.9599999785423279,0.9726241230964661,0.9726241230964661,0.9726241230964661,0.0
122.7532246806,-12.8262094891,5727490553101853696,0.0547,0.051,0.7747,0.0743,2.294,-2.216,0.081,-0.592,0.083,31,1.459,,0.966,17.027235,17.606174,16.324287,1.281887,,-31.99616580953,122.75323478369,-12.82620685818,0.804995,0.15528908782671952,1,1.2818869999999976,0.9756230711936951,0.9761737585067749,5.1959224947495386e-05,0.9761595726013184,0.9599999785423279,0.9761737585067749,0.9761737585067749,0.9761737585067749,0.0
122.75429574724,-12.81845328134,5727490591762294784,0.013,0.0109,0.7478,0.0165,2.222,-2.186,0.018,-0.398,0.016,31,1.616,,1.016,13.643638,13.855203,13.293307,0.561895,18.85,-31.98839845678,122.75430571289,-12.81845151222,0.790098,0.15861893805924174,1,0.5618959999999991,0.9485598802566528,0.975153923034668,0.0017169414786621928,0.9749206304550171,0.9599999785423279,0.975153923034668,0.975153923034668,0.975153923034668,0.0
122.78009832919,-12.80242260453,5727490729201234176,0.0638,0.0598,0.7092,0.0883,2.274,-2.212,0.097,-0.528,0.097,31,1.433,,1.01,17.342243,17.999214,16.590963,1.408251,,-31.96650698113,122.78010841003,-12.80242025995,0.7384210000000001,0.20528668293983265,1,1.408251,0.9585633873939514,0.9587330222129822,1.0601656867947895e-05,0.9587314128875732,0.9399999976158142,0.9587330222129822,0.9587330222129822,0.9587330222129822,0.0
122.82078815438,-12.80191706367,5727490862342010368,0.0112,0.0097,0.7604,0.0148,2.408,-2.318,0.016,-0.65,0.015,31,1.637,,1.019,13.187474,13.364006,12.890951,0.473055,,-31.95594035827,122.8207987206,-12.80191417684,0.802742,0.2699021785094374,1,0.47305500000000045,0.9043872952461243,0.9297428727149963,0.0009765378199517727,0.9292482733726501,0.9200000166893005,0.9295097589492798,0.929286003112793,0.9296424984931946,0.0
122.82822464046,-12.80304272338,5727490866640172160,0.0168,0.0152,0.745,0.0271,2.403,-2.358,0.027,-0.46,0.025,31,1.706,,0.945,11.602541,11.663043,11.48709,0.175953,25.13,-31.9551861808,122.82823538935,-12.80304067897,0.799182,0.2814074646613853,1,0.1759529999999998,0.9230201244354248,0.9238642454147339,0.0001490598515374586,0.9237876534461975,0.9200000166893005,0.9238642454147339,0.9237506985664368,0.9238642454147339,0.0
122.85700012709,-12.7971933556,5727490900996264192,0.0169,0.0141,0.7729,0.0265,2.45,-2.371,0.03,-0.618,0.025,31,1.674,,1.014,10.895908,11.000291,10.692191,0.3081,35.61,-31.94239495431,122.85701093204,-12.79719060918,0.7993600000000001,0.32917130059685157,1,0.3081000000000014,0.8728390336036682,0.8973101377487183,0.0007454613223671913,0.8972229957580566,0.8799999952316284,0.8973101377487183,0.8973101377487183,0.8973101377487183,0.0
122.81415051711,-12.7720758199,5727491240304812160,0.0224,0.0193,0.7364,0.032,2.514,-2.442,0.036,-0.594,0.031,31,1.542,,1.031,15.269485,15.624101,14.75058,0.873521,,-31.92872262882,122.81416164773,-12.77207317898,0.7787590000000001,0.27396379587727376,1,0.8735210000000002,0.9255998134613037,0.9276914000511169,0.00015443486336153,0.9276197552680969,0.9200000166893005,0.9276914000511169,0.9276026487350464,0.9276914000511169,0.0
122.76616556302,-12.79472358693,5727491450755742592,0.0293,0.0273,0.7259,0.0416,2.317,-2.249,0.046,-0.556,0.042,31,1.517,,1.016,15.932993,16.338402,15.356071,0.98233,,-31.96250841692,122.76617581224,-12.79472111378,0.766871,0.18757878186350715,1,0.9823309999999985,0.963529646396637,0.9654260277748108,0.00019021924526896328,0.9652537703514099,0.9599999785423279,0.9653149247169495,0.9651914238929749,0.96538245677948,0.0
