RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr
121.60570077306,-11.28123847229,3037823672609866880,0.2027,0.1404,0.8465,0.3908,2.553,-2.348,0.368,1.002,0.207,31,1.421,,1.028,19.578629,20.100153,18.859993,1.24016,,-30.7780307685,121.60571141476,-11.28124292386,0.859226
121.58620436738,-11.26492096201,3037823943189767296,0.1146,0.0837,0.7853,0.1973,2.889,-2.821,0.195,-0.623,0.118,31,1.403,,1.031,18.803337,19.509624,17.994886,1.514738,,-30.76683827616,121.58621715162,-11.2649181917,0.807141
121.59309032223,-11.25746517609,3037824050567293312,0.4066,0.2703,0.8076,0.7605,1.855,-1.734,0.698,0.657,0.395,95,,1.3813,1.053,20.240658,21.028656,19.282652,1.746004,,-30.75796740164,121.59309818069,-11.25746809822,0.799512
121.48001707816,-11.27009067125,3037824462884472448,0.4394,0.2706,0.7107,0.8331,2.459,-2.418,0.709,0.446,0.433,95,,1.3495,1.031,20.334953,20.731653,19.509314,1.22234,,-30.79707150496,121.48002803749,-11.27009265146,0.696545
121.57961373516,-11.21568038995,3037824973981939840,0.0835,0.0617,0.7678,0.1502,1.988,-1.912,0.147,0.545,0.088,31,1.365,,1.0,18.31915,19.204727,17.430405,1.774323,,-30.72063304931,121.57962239923,-11.21568281288,0.792539
121.55759673965,-11.21644342689,3037825145780630656,0.0922,0.0687,0.6931,0.1579,2.165,-2.133,0.155,-0.37,0.096,31,1.496,,0.996,18.422674,18.890026,17.846128,1.043898,,-30.72660500097,121.55760640323,-11.21644178186,0.717395
121.64298030439,-11.25470095857,3037825287522634112,0.1658,0.1108,0.8477,0.2841,2.262,-2.25,0.283,0.236,0.163,95,,1.4913,0.998,19.202387,19.76269,18.529009,1.233681,,-30.74341269576,121.64299049857,-11.25470200745,0.862931
121.63287872607,-11.21313233904,3037825695537372288,0.1221,0.085,0.8368,0.2129,1.469,-1.461,0.211,0.151,0.126,95,,1.281,1.066,18.695118,19.905998,17.618261,2.287737,,-30.70549208679,121.63288534506,-11.21313301095,0.867483
121.63557037613,-11.20616209857,3037825764256853120,0.0822,0.0609,0.7036,0.1455,3.36,-3.168,0.142,1.118,0.086,31,1.449,,0.988,18.235699,18.818005,17.527641,1.290363,,-30.69808949848,121.63558472978,-11.2061670688,0.728603
121.66325819296,-11.19044071301,3037826112153792000,0.0309,0.022,0.7302,0.0519,2.837,-2.822,0.05,-0.287,0.031,31,1.495,,1.004,16.452564,16.917543,15.835157,1.082386,,-30.67624605482,121.66327097981,-11.19043943824,0.762497
121.58096930101,-11.19621575049,3037826657609129984,0.2269,0.1593,0.6924,0.3851,2.408,-2.408,0.379,-0.033,0.228,31,1.444,,1.027,19.493536,20.025232,18.888334,1.136898,,-30.70142621589,121.58098021202,-11.19621560246,0.706912
121.62001286353,-11.16891207793,3037827005507004288,0.1047,0.0777,0.6828,0.1792,1.47,-1.445,0.173,0.266,0.113,31,1.352,,1.025,18.648373,19.66282,17.758749,1.904072,,-30.66565350459,121.62001941087,-11.16891325972,0.705653
121.81234642732,-11.23821192879,3037827585322965888,0.1131,0.083,0.6851,0.1847,2.613,-2.499,0.179,0.765,0.117,31,1.502,,1.029,18.64693,19.118572,18.07456,1.044012,,-30.68700084991,121.8123577515,-11.23821532789,0.708153
121.82986114421,-11.20417397317,3037827933219847808,0.0585,0.0418,0.7137,0.1001,2.472,-2.425,0.096,-0.482,0.061,31,1.422,,0.98,17.67431,18.312265,16.896051,1.416214,,-30.64980116407,121.82987212936,-11.20417183181,0.741584
121.86104680094,-11.19314006927,3037828139376146048,0.6525,0.4734,0.8819,1.1987,2.097,-2.073,0.98,-0.315,0.678,95,,1.3304,1.034,20.652216,21.382833,19.6215,1.761334,,-30.63163807397,121.86105619187,-11.19313866995,0.8648830000000001
121.83381319045,-11.19357370579,3037828311176964736,0.0168,0.012,0.741,0.03,2.824,-2.76,0.027,-0.602,0.018,31,1.564,,0.948,15.074153,15.383673,14.602471,0.781201,,-30.63857552713,121.8338256928,-11.19357103175,0.783674
121.78370204249,-11.16921554335,3037829032730232960,0.4404,0.2936,0.7049,0.7223,3.41,-3.399,0.762,0.266,0.456,95,,1.3901,1.061,20.180517,21.145613,19.117796,2.027817,,-30.62693014824,121.78371744275,-11.16921672457,0.69812
121.88309223241,-11.1616907463,3037829956144971904,0.2246,0.1651,0.8813,0.3811,4.467,-4.277,0.371,1.288,0.244,95,,1.3046,0.987,19.699104,20.494831,18.947266,1.547565,,-30.59586153262,121.88311160898,-11.16169647114,0.870726
121.88031896657,-11.12924656954,3037830815138461056,0.1404,0.1023,0.8668,0.2495,2.417,-2.168,0.229,1.069,0.151,31,1.523,,1.032,18.97292,19.343758,18.472626,0.871132,,-30.56506226065,121.88032878789,-11.12925131936,0.888037
