GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Cluster,Pmemb
5727494165175135360,122.60979640715,-12.76425111104,0.8191,-2.527,-0.444,16.72528,17.287949,16.025478,NGC_2539,1.0
5727494165175137408,122.60266128223,-12.76402814581,0.7976,-2.275,-0.383,15.638226,16.025198,15.084072,NGC_2539,1.0
5727494199534864896,122.62810104909,-12.7658376154,0.8083,-2.208,-0.386,16.582106,17.077616,15.932227,NGC_2539,1.0
5727494233891027200,122.64295411309,-12.75761329022,0.6587,-2.25,-0.533,18.214611,18.864727,17.263288,NGC_2539,0.68
5727494302614070912,122.63367237536,-12.73924627982,0.7499,-2.039,-0.578,13.971679,14.220216,13.573074,NGC_2539,1.0
5727494302614073728,122.62491879592,-12.73943883368,0.7394,-2.142,-0.98,13.506442,13.721246,13.152643,NGC_2539,1.0
5727494302614074112,122.62606910027,-12.74309326061,0.8044,-2.473,-0.554,15.767749,16.157846,15.216371,NGC_2539,1.0
5727494336973835776,122.58919079955,-12.76389300358,0.7635,-2.473,-0.487,13.121811,13.350056,12.747478,NGC_2539,1.0
5727494371335172352,122.59798707309,-12.74325615316,0.7629,-2.249,-0.56,10.76339,11.11671,10.242385,NGC_2539,1.0
5727494405693319296,122.57129473479,-12.75545968357,0.8028,-2.199,-0.48,17.357395,17.997486,16.605455,NGC_2539,1.0
5727494470118298240,122.60252624126,-12.74322847505,1.089,-1.848,-0.568,19.06781,20.070915,18.07304,NGC_2539,0.29
5727494508772502528,122.62120995226,-12.72581478977,0.7792,-2.411,-0.438,12.170949,12.273788,11.985541,NGC_2539,1.0
5727494714930905216,122.69796054463,-12.7537794545,0.733,-2.179,-0.599,13.48217,13.681951,13.147949,NGC_2539,1.0
5727494852369843328,122.72031949086,-12.73562294496,0.7493,-2.31,-0.565,14.089527,14.332129,13.696582,NGC_2539,1.0
5727494886729604992,122.67866792539,-12.75719599945,0.7327,-2.465,-0.442,15.229584,15.592502,14.69339,NGC_2539,1.0
5727494886729606528,122.67779725454,-12.75955417955,0.7275,-2.305,-0.843,17.02994,17.587395,16.323053,NGC_2539,0.99
5727494921089339392,122.6846975554,-12.74944135391,0.6766,-2.491,-0.618,16.084467,16.513245,15.49628,NGC_2539,0.99
5727494955445505920,122.65955210271,-12.74453949343,0.7299,-2.581,-0.818,18.634365,19.39119,17.676651,NGC_2539,0.6
5727494955449086336,122.66243583255,-12.74575451592,0.7961,-2.143,-0.526,10.969829,11.443133,10.333378,NGC_2539,1.0
5727494955449090176,122.65740053287,-12.74862188994,0.8102,-2.016,-0.608,14.50413,14.779407,14.072954,NGC_2539,1.0
5727494989809143680,122.67095375788,-12.74671929297,0.8357,-2.31,-0.756,17.179943,17.775618,16.465696,NGC_2539,0.98
5727495092888028672,122.68433918786,-12.7390693826,0.7617,-2.514,-0.576,17.546507,18.220726,16.770977,NGC_2539,1.0
5727495127247758336,122.69083975736,-12.71785840683,0.8063,-2.285,-0.463,15.154322,15.479388,14.661734,NGC_2539,1.0
5727495264686696192,122.73853738972,-12.72673214342,0.8072,-2.357,-0.597,11.758336,11.825103,11.631664,NGC_2539,1.0
5727494092155040384,122.61379359881,-12.7738280629,0.7765,-2.29,-0.415,17.006247,17.571436,16.312002,NGC_2539,1.0
5727494062096208768,122.60943479639,-12.78284174547,0.797,-2.417,-0.615,17.732492,18.45644,16.927654,NGC_2539,0.98
5727494057795309824,122.6061413135,-12.77073284325,0.5756,-2.451,-0.492,18.205053,19.08187,17.318089,NGC_2539,0.62
5727493821577787648,122.55030725711,-12.79442111774,0.8676,-2.363,-0.594,19.181211,20.202076,18.170227,NGC_2539,0.53
5727493065663500928,122.64284779767,-12.79638195854,0.7436,-2.373,-0.579,14.42929,14.69714,14.006626,NGC_2539,1.0
5727493100023222528,122.67970836811,-12.79535826991,0.7085,-1.913,-0.856,12.482996,12.600127,12.275393,NGC_2539,0.96
5727493100023226240,122.67587628735,-12.79916228603,0.691,-1.8,-0.365,14.248254,14.560971,13.769568,NGC_2539,0.67
5727493164442082816,122.6627025372,-12.78164701928,0.1902,-2.877,-0.767,19.459845,20.62194,18.471394,NGC_2539,0.07
